Case ID,GT,Responder_ID,User Role,Years_Derm_Experience,Age_Bracket,Gender,Country,Unaided_Dx_Score,Unaided_Dx_Reason,Unaided_Dx_Confidence,Unaided_Top3_SpotOn,Unaided_Top3_Generic,Unaided_Mgmt_Grade,Unaided_Mgmt_Reason,Unaided_Mgmt_Confidence,Assisted_Dx_Score,Assisted_Dx_Reason,Assisted_Dx_Confidence,Assisted_Top3_SpotOn,Assisted_Top3_Generic,Assisted_Mgmt_Grade,Assisted_Mgmt_Reason,Assisted_Mgmt_Confidence,AI_Trust_Score,Changed_Diagnosis,Changed_Management
1,Disease_7,1,GP,1-2,45-54,Male,DEMO,5,Demo,3,True,False,Inadequate but harmless,Demo,4,5,Demo,4,True,False,Inadequate and dangerous,Demo,4,4,False,True
2,Disease_12,1,GP,0,25-34,Male,DEMO,5,Demo,3,True,False,Inadequate and dangerous,Demo,4,5,Demo,4,True,True,Inadequate and dangerous,Demo,2,3,False,False
3,Disease_9,1,GP,1-2,55-64,Male,DEMO,3,Demo,4,False,False,Adequate,Demo,2,4,Demo,1,True,True,Adequate,Demo,4,4,False,True
4,Disease_8,1,GP,6-10,35-44,Female,DEMO,5,Demo,2,True,True,Adequate,Demo,1,5,Demo,3,True,False,Adequate,Demo,2,4,False,False
5,Disease_16,1,GP,>10,35-44,Male,DEMO,1,Demo,1,True,False,Perfect,Demo,4,1,Demo,4,True,True,Adequate,Demo,1,1,True,False
6,Disease_8,1,GP,3-5,45-54,Male,DEMO,3,Demo,3,True,True,Adequate,Demo,1,3,Demo,4,True,False,Perfect,Demo,2,1,True,False
7,Disease_3,1,GP,0,45-54,Male,DEMO,3,Demo,3,False,False,Perfect,Demo,2,4,Demo,3,True,False,Adequate,Demo,1,2,True,True
8,Disease_5,1,GP,>10,45-54,Male,DEMO,1,Demo,1,False,True,Inadequate and dangerous,Demo,3,2,Demo,3,False,True,Perfect,Demo,1,1,True,False
9,Disease_7,1,GP,0,25-34,Male,DEMO,2,Demo,3,False,False,Perfect,Demo,1,2,Demo,3,True,True,Adequate,Demo,1,5,False,False
10,Disease_17,1,GP,0,35-44,Female,DEMO,2,Demo,4,True,True,Adequate,Demo,1,2,Demo,1,False,True,Inadequate and dangerous,Demo,1,2,False,True
11,Disease_2,1,GP,>10,55-64,Female,DEMO,2,Demo,4,True,False,Adequate,Demo,3,4,Demo,3,True,True,Adequate,Demo,2,5,False,False
