Cohort,Responder_ID,Clinician_Role,Experience_Band,Case ID,Source_Dataset,GT,Unaided_Dx_Text,PRE_Differential_1,PRE_Differential_2,Unaided_Dx_Score,Unaided_Top3_SpotOn,Unaided_Top3_Generic,Unaided_Mgmt_Grade,Unaided_Dx_Confidence,Unaided_Mgmt_Confidence,AI_Top1_Prediction,AI_Top1_Confidence,AI_Top2_Prediction,AI_Top2_Confidence,AI_Top3_Prediction,AI_Top3_Confidence,Assisted_Dx_Text,POST_Differential_1,POST_Differential_2,Assisted_Dx_Score,Assisted_Top3_SpotOn,Assisted_Top3_Generic,Assisted_Mgmt_Grade,Assisted_Dx_Confidence,Assisted_Mgmt_Confidence,Changed_Diagnosis,Changed_Management
EN,24,NP,6-10,100,SNU-134,erythema annulare centrifugum,erythema annulare centrigugum,ringwarm infection,pityriasis rosea,5,True,False,Inadequate but harmless,3,don't know,erythema annulare centrifugum,0.9998977,tinea corporis,0.000102299855,erythema multiforme,2.3586242e-08,erythema annulare centrigugum,ringwarm infection,pityriasis rosea,5,True,False,Inadequate but harmless,3,don't know,0.0,0.0
EN,24,NP,6-10,176,SNU-134,contact dermatitis,allergic contact dermatitis,atopic dermatitis,impetigo,5,True,False,Perfect,4,4,contact dermatitis,1.0,herpes zoster,1.0160636e-11,eczema herpeticum,1.2520361e-12,allergic contact dermatitis,atopic dermatitis,impetigo,5,True,False,Perfect,4,4,0.0,0.0
EN,24,NP,6-10,37,SNU-134,skin tag,warts,skin tag,don't know,2,True,False,Inadequate but harmless,don't know,don't know,skin tag,0.88109386,nevus spilus,0.11557435,epidermal nevus,0.0029851922,skin tag,warts,don't know,5,True,False,Inadequate but harmless,don't know,don't know,1.0,0.0
EN,24,NP,6-10,35,SNU-134,paronychia,paronychia,ingrown toenail,psoriasis,5,True,False,Adequate,don't know,don't know,paronychia,1.0,furuncle,6.42172e-11,subungual hematoma,9.545035e-12,paronychia,ingrown toenail,psoriasis,5,True,False,Adequate,don't know,don't know,0.0,0.0
EN,24,NP,6-10,81,SNU-134,lentigo,lentigo,seborrheic keratosis,lelasma,5,True,False,Perfect,4,don't know,xanthelasma,0.7771407,granuloma annulare,0.16289753,tinea faciale,0.028307348,lentigo,seborrheic keratosis,lelasma,5,True,False,Perfect,4,don't know,0.0,0.0
EN,24,NP,6-10,77,SNU-134,cellulitis,erythema nodosum,bite reaction,allergic contact dermatitis,1,False,False,Inadequate and dangerous,4,3,cellulitis,0.9998921,pyoderma gangrenosum,7.254106e-05,inflamed cyst,3.21899e-05,erythema nodosum,bite reaction,allergic contact dermatitis,1,False,False,Inadequate and dangerous,4,3,0.0,0.0
EN,24,NP,6-10,177,SNU-134,inflamed cyst,folliculitis,bee stings,erythema nodusum,3,True,False,Inadequate but harmless,3,don't know,inflamed cyst,0.99975306,furuncle,0.00019109363,epidermal cyst,5.4749245e-05,folliculitis,bee stings,erythema nodusum,3,True,False,Inadequate but harmless,3,don't know,0.0,0.0
EN,24,NP,6-10,59,SNU-134,herpes zoster,acne,folliculitis,prurigo nodular,1,False,False,Inadequate and dangerous,3,3,varicella,0.99999964,erythema multiforme,3.059022e-07,herpes zoster,2.7191263e-11,varicella,folliculitis,acne,2,False,False,Inadequate and dangerous,3,3,1.0,0.0
EN,24,NP,6-10,153,SNU-134,lupus erythematosus,guttate psoriasis,bedbug bites,pityriasis rosea,1,False,False,Inadequate and dangerous,don't know,don't know,insect bite,0.75048333,herpes zoster,0.24364626,erythema multiforme,0.005382847,guttate psoriasis,bedbug bites,pityriasis rosea,1,False,False,Inadequate and dangerous,3,3,0.0,0.0
EN,24,NP,6-10,148,SNU-134,vitiligo,vitiligo,halo congenital naevus,pityriasis versicolour,5,True,False,Adequate,4,4,vitiligo,0.99879336,tinea versicolor,0.0012065897,nevus spilus,2.6322888e-11,vitiligo,halo congenital naevus,pityriasis versicolour,5,True,False,adequate,4,4,0.0,0.0
