reader_id,reader_expertise,test_session_id,round_number,question_number,test_mode,has_ai_assistance,image_id,isic_id,true_diagnosis,reader_diagnosis,is_correct,is_correct_numeric,clinical_decision,is_completed,expected_accuracy_2pl,age,yob,profession,gender
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,1,without_ai,False,7086155,DEMO_7086155,BCC,OTHER_BENIGN,False,0.0,biopsy,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,1,with_ai,True,7086155,DEMO_7086155,BCC,BCC,True,1.0,biopsy,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,2,without_ai,False,7213746,DEMO_7213746,VASC,VASC,True,1.0,local_therapy,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,2,with_ai,True,7213746,DEMO_7213746,VASC,VASC,True,1.0,dismiss,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,3,without_ai,False,8020214,DEMO_8020214,MEL,MEL,True,1.0,biopsy,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,3,with_ai,True,8020214,DEMO_8020214,MEL,INF,False,0.0,local_therapy,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,4,without_ai,False,9589087,DEMO_9589087,VASC,VASC,True,1.0,dismiss,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,4,with_ai,True,9589087,DEMO_9589087,VASC,VASC,True,1.0,monitor,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,5,without_ai,False,6349964,DEMO_6349964,BKL,BKL,True,1.0,dismiss,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,5,with_ai,True,6349964,DEMO_6349964,BKL,BKL,True,1.0,dismiss,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,6,without_ai,False,1618125,DEMO_1618125,SCCKA,SCCKA,True,1.0,biopsy,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,6,with_ai,True,1618125,DEMO_1618125,SCCKA,OTHER_BENIGN,False,0.0,biopsy,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,7,without_ai,False,5687194,DEMO_5687194,BCC,BCC,True,1.0,biopsy,True,0.7864135128246947,,,medicalSpecialist,Male
34e08755e2d79eecb10f14c167f45c855c397389,expert,3657d6ea0d338768da62543e3a0855087be2c485,1,7,with_ai,True,5687194,DEMO_5687194,BCC,BCC,True,1.0,local_therapy,True,0.7864135128246947,,,medicalSpecialist,Male
