Table,Category,Mean,CI_Lower,CI_Upper,N,p_value,Without_AI_Mean,Without_AI_CI_Lower,Without_AI_CI_Upper,With_AI_Mean,With_AI_CI_Lower,With_AI_CI_Upper,N_readers,corrected_p_value
RS2_Overall_Accuracy,Without AI assistance,0.5779188712522046,0.5202343340569724,0.6356034084474369,63.0,,,,,,,,,
RS2_Overall_Accuracy,With AI assistance,0.6503527336860669,0.5898282571811339,0.710877210191,63.0,0.00010354987151712603,,,,,,,,
RS2_Class_Specific_Accuracy,BCC,,,,,0.01745205812687174,0.5979402872260016,0.5116999592075305,0.6841806152444726,0.7089002267573697,0.6338127800599807,0.7839876734547588,63.0,0.1745205812687174
RS2_Class_Specific_Accuracy,VASC,,,,,0.29408299851237985,0.6368055555555555,0.5254782228681897,0.7481328882429213,0.7079861111111111,0.5941711354020274,0.8218010868201948,48.0,1.0
RS2_Class_Specific_Accuracy,MEL,,,,,0.09602885005090599,0.5484661667697381,0.44986175002798134,0.6470705835114949,0.6399067202638632,0.5413713240153804,0.738442116512346,56.0,0.9602885005090599
RS2_Class_Specific_Accuracy,BKL,,,,,0.5751932327506788,0.608646584896585,0.5132036735504304,0.7040894962427395,0.5771410533910534,0.4857883006218552,0.6684938061602516,60.0,1.0
RS2_Class_Specific_Accuracy,SCCKA,,,,,0.08207788824947751,0.593915343915344,0.48594280167354514,0.7018878861571427,0.6957671957671957,0.5982976396431634,0.793236751891228,51.0,0.820778882494775
RS2_Class_Specific_Accuracy,INF,,,,,0.12270140353297641,0.48697916666666663,0.32395742296451246,0.6500009103688208,0.6588541666666667,0.5042571315541879,0.8134512017791455,32.0,1.0
RS2_Class_Specific_Accuracy,DF,,,,,0.05796563163588706,0.4993197278911564,0.390017903163072,0.6086215526192409,0.6176870748299319,0.512223986676005,0.7231501629838588,49.0,0.5796563163588706
RS2_Class_Specific_Accuracy,NV,,,,,0.0356301083588006,0.5563539932289933,0.4786299388085183,0.6340780476494683,0.6450292069042068,0.5648509236103922,0.7252074901980214,60.0,0.356301083588006
RS2_Class_Specific_Accuracy,AKIEC,,,,,0.5214114104850271,0.6048966756513926,0.49956022168608344,0.7102331296167017,0.6525157232704402,0.5423250390640862,0.7627064074767941,53.0,1.0
RS2_Class_Specific_Accuracy,OTHER_BEN,,,,,0.2769682198173326,0.7034313725490196,0.5695025171862207,0.8373602279118184,0.622549019607843,0.4783537543141969,0.7667442849014892,34.0,1.0
RS2_Accuracy_by_Experience,Non-expert,,,,,0.005995317727867188,0.432072072072072,0.3744474222554118,0.4896967218887322,0.5028528528528529,0.43694487342970917,0.5687608322759965,37.0,0.011990635455734377
RS2_Accuracy_by_Experience,Expert,,,,,0.006261255693228763,0.7854700854700856,0.7416511578841029,0.8292890130560683,0.8602564102564103,0.8204620628871163,0.9000507576257043,26.0,0.012522511386457526
RS2_Overall_Management_Appropriate,Without AI assistance,0.7343562610229275,0.7143529490365377,0.7543595730093173,63.0,,,,,,,,,
RS2_Overall_Management_Appropriate,With AI assistance,0.7516049382716048,0.728397179418233,0.7748126971249766,63.0,0.2758587132656572,,,,,,,,
RS2_Management_by_Experience,Non-expert,,,,,0.6379763296770289,0.728768768768769,0.7017339331533788,0.7558036043841591,0.7392192192192193,0.7068329139698915,0.7716055244685471,37.0,1.0
RS2_Management_by_Experience,Expert,,,,,0.23012950774383417,0.7423076923076923,0.7124714830403178,0.7721439015750668,0.7692307692307693,0.7375147666925181,0.8009467717690204,26.0,0.46025901548766834
