reader_id,reader_expertise,test_session_id,round_number,question_number,test_mode,has_ai_assistance,image_id,isic_id,true_diagnosis,reader_diagnosis,is_correct,is_correct_numeric,clinical_decision,is_completed,expected_accuracy_2pl,age,yob,profession,gender
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,1,without_ai,False,241251,ISIC_5728052,NV,NV,True,1.0,dismiss,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,2,with_ai,True,241251,ISIC_5728052,NV,NV,True,1.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,3,without_ai,False,244972,ISIC_1828351,MEL,NV,False,0.0,dismiss,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,4,with_ai,True,244972,ISIC_1828351,MEL,VASC,False,0.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,5,without_ai,False,242800,ISIC_8381176,BKL,VASC,False,0.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,6,with_ai,True,242800,ISIC_8381176,BKL,DF,False,0.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,7,without_ai,False,241012,ISIC_1063001,BCC,DF,False,0.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,8,with_ai,True,241012,ISIC_1063001,BCC,BCC,True,1.0,biopsy,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,9,without_ai,False,244095,ISIC_8291456,BKL,VASC,False,0.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,10,with_ai,True,244095,ISIC_8291456,BKL,AKIEC,False,0.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,11,without_ai,False,240316,ISIC_0598387,MEL,VASC,False,0.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,12,with_ai,True,240316,ISIC_0598387,MEL,MEL,True,1.0,biopsy,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,13,without_ai,False,240130,ISIC_6141356,NV,NV,True,1.0,dismiss,True,0.822346603,,,boardCertifiedDermatologist,
45accf0ad769f505b9f19ea5e27410b6c4c45356,expert,a1dd0e2aa353b1a15111f77101f30670c49e7f05,1,14,with_ai,True,240130,ISIC_6141356,NV,NV,True,1.0,monitor,True,0.822346603,,,boardCertifiedDermatologist,
