Table,Category,Mean,CI_Lower,CI_Upper,N,p_value,Without_AI_Mean,Without_AI_CI_Lower,Without_AI_CI_Upper,With_AI_Mean,With_AI_CI_Lower,With_AI_CI_Upper,N_readers,corrected_p_value
RS2_Overall_Accuracy,Without AI assistance,0.5139705142508795,0.4835018086428918,0.5444392198588671,71.0,,,,,,,,,
RS2_Overall_Accuracy,With AI assistance,0.594061411485759,0.5675677247744874,0.6205550981970306,71.0,8.312156695988113e-07,,,,,,,,
RS2_Class_Specific_Accuracy,NV,,,,,0.06156131913133175,0.5629754316146197,0.5002515390407241,0.6256993241885154,0.6272305678602282,0.5661198659057791,0.6883412698146774,71.0,0.6771745104446493
RS2_Class_Specific_Accuracy,MEL,,,,,0.7236078727080315,0.6616706650157355,0.5891843304089439,0.734156999622527,0.6747510705257184,0.6018696980194793,0.7476324430319574,71.0,1.0
RS2_Class_Specific_Accuracy,BKL,,,,,9.123932790968935e-05,0.34351480048706284,0.27710127281134467,0.409928328162781,0.4648524098618991,0.39378640435693224,0.5359184153668659,71.0,0.0010036326070065828
RS2_Class_Specific_Accuracy,BCC,,,,,0.001909099123366606,0.6114493894371595,0.5482527852333758,0.6746459936409432,0.7165344614869806,0.6576649420309669,0.7754039809429943,71.0,0.021000090357032666
RS2_Class_Specific_Accuracy,AKIEC,,,,,0.04294043694866232,0.4816088840736728,0.3795046097986061,0.5837131583487395,0.5849008581402948,0.485770739468244,0.6840309768123456,71.0,0.47234480643528554
RS2_Class_Specific_Accuracy,DF,,,,,4.263786489599398e-05,0.49656462585034017,0.39637146972367865,0.5967577819770017,0.679982993197279,0.5869569375083643,0.7730090488861936,70.0,0.00046901651385593377
RS2_Class_Specific_Accuracy,INF,,,,,0.11387910915186514,0.19875,0.08480389291198746,0.31269610708801254,0.29625,0.16206313474228448,0.4304368652577155,40.0,1.0
RS2_Class_Specific_Accuracy,VASC,,,,,0.507785832592272,0.7504191817572099,0.6649946913285903,0.8358436721858294,0.7155264922870557,0.6285420620857525,0.8025109224883589,71.0,1.0
RS2_Class_Specific_Accuracy,SCCKA,,,,,0.09732229821803909,0.3929296066252588,0.29910457237298704,0.4867546408775305,0.47420437740313515,0.37773814759724056,0.5706706072090297,70.0,1.0
RS2_Class_Specific_Accuracy,OTHER_BEN,,,,,0.13436277094003538,0.17328605200945627,0.07796765954891835,0.2686044444699942,0.25070921985815603,0.14247572886658671,0.35894271084972534,47.0,1.0
RS2_Class_Specific_Accuracy,OTHER_MAL,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,
RS2_Accuracy_by_Experience,Non-expert,,,,,0.00045389696857489153,0.4914922576620708,0.44110831321143024,0.5418762021127114,0.5864449459228884,0.5448070598422681,0.6280828320035088,32.0,0.0009077939371497831
RS2_Accuracy_by_Experience,Expert,,,,,0.000649962246714089,0.5324142119647739,0.49583892824746967,0.5689894956820781,0.6003108191270887,0.5658916632129758,0.6347299750412017,39.0,0.001299924493428178
RS2_Overall_Management_Appropriate,Without AI assistance,0.6776742495861444,0.6543284281311951,0.7010200710410938,71.0,,,,,,,,,
RS2_Overall_Management_Appropriate,With AI assistance,0.703567040952641,0.6806995065827341,0.7264345753225478,71.0,0.008557640043993663,,,,,,,,
RS2_Management_by_Experience,Non-expert,,,,,0.13933868180291337,0.673430108735204,0.630335255765728,0.71652496170468,0.6973371284396376,0.6589172656027843,0.7357569912764909,32.0,0.27867736360582673
RS2_Management_by_Experience,Expert,,,,,0.02584775473813429,0.6811566215664034,0.6570330384358366,0.7052802046969703,0.7086787640402338,0.6811149533379287,0.7362425747425388,39.0,0.05169550947626858
