Dataset,Model,ACCURACY,ACCURACY_p_value,BALANCED_ACCURACY,BALANCED_ACCURACY_p_value,MACRO_F1,MACRO_F1_p_value,WEIGHTED_F1,WEIGHTED_F1_p_value,SENSITIVITY,SENSITIVITY_p_value,SPECIFICITY,SPECIFICITY_p_value,AUROC,AUROC_p_value
HAM,DermLIP-PanDerm,0.8836 (0.8656-0.8989),6.46e-116,0.8101 (0.7709-0.8447),6.00e-106,0.8159 (0.7810-0.8470),8.02e-41,0.8818 (0.8637-0.8975),4.62e-167,0.8101 (0.7709-0.8447),6.00e-106,0.9702 (0.9656-0.9744),4.41e-203,0.9807 (0.9763-0.9846),0.00e+00
HAM,BiomedCLIP,0.6874 (0.6653-0.7119),0.00e+00,0.1763 (0.1642-0.1891),0.00e+00,0.1731 (0.1536-0.1936),0.00e+00,0.5862 (0.5568-0.6180),0.00e+00,0.1763 (0.1642-0.1891),0.00e+00,0.8733 (0.8696-0.8772),0.00e+00,0.8798 (0.8614-0.8965),0.00e+00
HAM,DINOv3-L16,0.8628 (0.8456-0.8796),0.00e+00,0.7477 (0.6970-0.7907),0.00e+00,0.7688 (0.7251-0.8052),5.63e-307,0.8591 (0.8406-0.8771),0.00e+00,0.7477 (0.6970-0.7907),0.00e+00,0.9634 (0.9583-0.9680),0.00e+00,0.9758 (0.9713-0.9804),0.00e+00
HAM,PanDerm,0.8823 (0.8656-0.8989),3.92e-136,0.7820 (0.7328-0.8258),4.96e-258,0.8157 (0.7755-0.8487),1.10e-37,0.8811 (0.8637-0.8978),1.49e-176,0.7820 (0.7328-0.8258),4.96e-258,0.9686 (0.9640-0.9732),4.94e-269,0.9813 (0.9768-0.9855),0.00e+00
HAM,MONET,0.8514 (0.8330-0.8696),0.00e+00,0.6604 (0.6073-0.7126),0.00e+00,0.7091 (0.6609-0.7553),0.00e+00,0.8451 (0.8252-0.8635),0.00e+00,0.6604 (0.6073-0.7126),0.00e+00,0.9580 (0.9527-0.9629),0.00e+00,0.9696 (0.9632-0.9754),0.00e+00
HAM,DermFM-Zero,0.8932 (0.8769-0.9095),,0.8322 (0.7890-0.8726),,0.8269 (0.7906-0.8600),,0.8943 (0.8784-0.9097),,0.8322 (0.7890-0.8726),,0.9740 (0.9697-0.9782),,0.9886 (0.9857-0.9914),
HAM,CLIP-Large,0.8459 (0.8283-0.8643),0.00e+00,0.6684 (0.6162-0.7212),0.00e+00,0.7041 (0.6552-0.7526),0.00e+00,0.8413 (0.8228-0.8599),0.00e+00,0.6684 (0.6162-0.7212),0.00e+00,0.9586 (0.9535-0.9633),0.00e+00,0.9675 (0.9618-0.9729),0.00e+00
HAM,DermLIP-ViT-B-16,0.8507 (0.8330-0.8683),0.00e+00,0.6732 (0.6185-0.7265),0.00e+00,0.7124 (0.6614-0.7588),0.00e+00,0.8438 (0.8251-0.8622),0.00e+00,0.6732 (0.6185-0.7265),0.00e+00,0.9588 (0.9538-0.9636),0.00e+00,0.9733 (0.9685-0.9781),0.00e+00
PAD,DermLIP-PanDerm,0.7412 (0.7007-0.7831),3.57e-44,0.7059 (0.6339-0.7659),1.27e-103,0.7068 (0.6461-0.7616),5.73e-79,0.7409 (0.6988-0.7821),6.42e-68,0.7059 (0.6339-0.7659),1.27e-103,0.9402 (0.9312-0.9500),9.87e-73,0.9198 (0.9006-0.9372),1.35e-195
PAD,BiomedCLIP,0.6796 (0.6377-0.7202),0.00e+00,0.4473 (0.4070-0.4866),0.00e+00,0.4456 (0.4087-0.4819),0.00e+00,0.6403 (0.5934-0.6870),0.00e+00,0.4473 (0.4070-0.4866),0.00e+00,0.9191 (0.9092-0.9286),0.00e+00,0.8925 (0.8735-0.9115),0.00e+00
PAD,PanDerm,0.7593 (0.7223-0.8004),1.0000,0.7097 (0.6324-0.7776),2.43e-74,0.7158 (0.6441-0.7749),4.65e-31,0.7585 (0.7195-0.8004),0.6860,0.7094 (0.6308-0.7776),1.86e-74,0.9434 (0.9342-0.9533),1.92e-06,0.9421 (0.9291-0.9592),1.0000
PAD,DINOv3-L16,0.7282 (0.6876-0.7701),8.58e-136,0.6111 (0.5324-0.6898),0.00e+00,0.6251 (0.5394-0.6979),0.00e+00,0.7220 (0.6812-0.7648),1.80e-199,0.6111 (0.5324-0.6898),0.00e+00,0.9358 (0.9269-0.9454),1.46e-210,0.9318 (0.9150-0.9476),3.54e-19
PAD,DermFM-Zero,0.7544 (0.7158-0.7939),,0.7396 (0.6754-0.7978),,0.7327 (0.6750-0.7859),,0.7580 (0.7194-0.7972),,0.7396 (0.6754-0.7978),,0.9443 (0.9352-0.9536),,0.9353 (0.9171-0.9520),
PAD,CLIP-Large,0.7245 (0.6854-0.7657),1.47e-164,0.6398 (0.5616-0.7168),2.23e-298,0.6589 (0.5842-0.7233),1.14e-268,0.7221 (0.6823-0.7630),2.77e-205,0.6398 (0.5616-0.7168),2.23e-298,0.9352 (0.9265-0.9444),5.59e-230,0.9259 (0.9094-0.9429),6.78e-105
PAD,MONET,0.7309 (0.6898-0.7701),6.56e-116,0.6458 (0.5687-0.7213),7.96e-288,0.6668 (0.5882-0.7353),5.36e-239,0.7249 (0.6817-0.7663),1.15e-182,0.6457 (0.5677-0.7213),7.47e-288,0.9358 (0.9261-0.9456),1.79e-207,0.9157 (0.8980-0.9343),1.29e-236
PAD,DermLIP-ViT-B-16,0.7592 (0.7180-0.7983),1.0000,0.7211 (0.6787-0.7632),7.18e-53,0.7123 (0.6582-0.7647),4.65e-58,0.7475 (0.7041-0.7886),7.90e-26,0.7211 (0.6787-0.7632),7.18e-53,0.9416 (0.9319-0.9510),9.26e-32,0.9361 (0.9181-0.9520),0.9812
