Dataset,Model,ACCURACY,ACCURACY_p_value,BALANCED_ACCURACY,BALANCED_ACCURACY_p_value,MACRO_F1,MACRO_F1_p_value,WEIGHTED_F1,WEIGHTED_F1_p_value,SENSITIVITY,SENSITIVITY_p_value,SPECIFICITY,SPECIFICITY_p_value,AUROC,AUROC_p_value
HAM,BiomedCLIP,0.6348 (0.6121-0.6587),3.93e-32,0.2283 (0.1936-0.2654),3.93e-32,0.2142 (0.1832-0.2506),3.93e-32,0.5665 (0.5375-0.5953),3.93e-32,0.2283 (0.1936-0.2654),3.93e-32,0.8720 (0.8676-0.8765),3.93e-32,0.6905 (0.6623-0.7173),3.93e-32
HAM,DermLIP-PanDerm,0.6275 (0.6028-0.6541),3.96e-39,0.6334 (0.5847-0.6768),3.96e-39,0.4662 (0.4311-0.5038),3.96e-39,0.6669 (0.6433-0.6921),3.96e-39,0.6334 (0.5847-0.6768),3.96e-39,0.9292 (0.9238-0.9345),3.96e-39,0.8939 (0.8771-0.9081),3.96e-39
HAM,DermLIP-ViT-B-16,0.6812 (0.6567-0.7059),1.04e-19,0.5125 (0.4600-0.5662),1.04e-19,0.4334 (0.3910-0.4706),1.04e-19,0.6857 (0.6604-0.7107),1.04e-19,0.5125 (0.4600-0.5662),1.04e-19,0.9309 (0.9257-0.9365),1.04e-19,0.8815 (0.8631-0.8961),1.04e-19
HAM,MAKE,0.4551 (0.4285-0.4804),1.79e-97,0.5575 (0.5030-0.6068),1.79e-97,0.4328 (0.3861-0.4727),1.79e-97,0.5015 (0.4757-0.5266),1.79e-97,0.5575 (0.5030-0.6068),1.79e-97,0.9107 (0.9058-0.9153),1.79e-97,0.8900 (0.8765-0.9014),1.79e-97
HAM,DermFM-Zero,0.7958 (0.7758-0.8150),,0.7443 (0.7024-0.7831),,0.6367 (0.5948-0.6747),,0.8053 (0.7856-0.8243),,0.7443 (0.7024-0.7831),,0.9570 (0.9522-0.9616),,0.9501 (0.9371-0.9613),
HAM,CLIP-Large,0.2761 (0.2542-0.2981),1.46e-180,0.2021 (0.1740-0.2347),1.46e-180,0.1645 (0.1398-0.1914),1.46e-180,0.3041 (0.2802-0.3284),1.46e-180,0.2021 (0.1740-0.2347),1.46e-180,0.8486 (0.8425-0.8542),1.46e-180,0.6603 (0.6345-0.6850),1.46e-180
HAM,MONET,0.3348 (0.3120-0.3580),2.12e-150,0.3344 (0.2874-0.3815),2.12e-150,0.2481 (0.2141-0.2816),2.12e-150,0.3937 (0.3676-0.4194),2.12e-150,0.3344 (0.2874-0.3815),2.12e-150,0.8937 (0.8897-0.8979),2.12e-150,0.7897 (0.7590-0.8190),2.12e-150
PAD,BiomedCLIP,0.4513 (0.4056-0.4967),6.34e-18,0.4411 (0.3680-0.5092),6.34e-18,0.3512 (0.3027-0.4035),6.34e-18,0.4740 (0.4245-0.5187),6.34e-18,0.4411 (0.3680-0.5092),6.34e-18,0.8849 (0.8752-0.8946),6.34e-18,0.7756 (0.7449-0.8064),6.34e-18
PAD,DermLIP-PanDerm,0.6253 (0.5813-0.6703),0.010,0.5048 (0.4267-0.5823),0.010,0.5318 (0.4527-0.6058),0.010,0.6104 (0.5633-0.6591),0.010,0.5048 (0.4267-0.5823),0.010,0.9081 (0.8975-0.9189),0.010,0.8761 (0.8537-0.8970),0.010
PAD,DermLIP-ViT-B-16,0.6075 (0.5640-0.6486),0.002,0.5059 (0.4225-0.5787),0.002,0.4884 (0.4241-0.5480),0.002,0.5971 (0.5540-0.6390),0.002,0.5059 (0.4225-0.5787),0.002,0.9061 (0.8963-0.9158),0.002,0.8698 (0.8396-0.8953),0.002
PAD,MAKE,0.5856 (0.5445-0.6312),1.79e-06,0.6082 (0.5657-0.6524),1.79e-06,0.5050 (0.4450-0.5680),1.79e-06,0.5970 (0.5530-0.6410),1.79e-06,0.6082 (0.5657-0.6524),1.79e-06,0.9099 (0.9002-0.9196),1.79e-06,0.8926 (0.8732-0.9123),1.79e-06
PAD,DermFM-Zero,0.6935 (0.6508-0.7354),,0.7425 (0.6973-0.7873),,0.7105 (0.6583-0.7580),,0.7086 (0.6685-0.7505),,0.7425 (0.6973-0.7873),,0.9326 (0.9233-0.9423),,0.9319 (0.9149-0.9474),
PAD,CLIP-Large,0.3827 (0.3405-0.4273),2.14e-25,0.3837 (0.3165-0.4432),2.14e-25,0.2738 (0.2362-0.3131),2.14e-25,0.4157 (0.3692-0.4618),2.14e-25,0.3837 (0.3165-0.4432),2.14e-25,0.8776 (0.8695-0.8863),2.14e-25,0.7260 (0.6966-0.7552),2.14e-25
PAD,MONET,0.4719 (0.4295-0.5206),6.40e-13,0.4457 (0.3730-0.5236),6.40e-13,0.4337 (0.3491-0.5084),6.40e-13,0.4446 (0.4003-0.4953),6.40e-13,0.4457 (0.3730-0.5236),6.40e-13,0.8811 (0.8717-0.8910),6.40e-13,0.8318 (0.8096-0.8541),6.40e-13
